ROLL_UP_SHOP,REASON_GROUP,N_MONTHS,AVG_MONTHLY_REVENUE,TOTAL_ABS_ERROR,WAPE_SERIES,MAE_SERIES,BIAS_SERIES,SD_Y,PCT_ZERO_MONTHS,CV,CUSTOMER_GROUP,REASON_CODE_GROUP
555,Routine,12,611846.395,3297917.07,0.44917552,274826.4225,-0.44917552,139324.99986464853,0.0,0.2277123817402708,CCCI,Routine
555,Routine,12,611846.395,3297917.07,0.44917552,274826.4225,-0.44917552,139324.99986464853,0.0,0.2277123817402708,CAPX,Routine
555,Routine,12,611846.395,3297917.07,0.44917552,274826.4225,-0.44917552,139324.99986464853,0.0,0.2277123817402708,UNKNOWN,Routine
555,Routine,12,611846.395,3297917.07,0.44917552,274826.4225,-0.44917552,139324.99986464853,0.0,0.2277123817402708,TRANS,Routine
555,Routine,12,611846.395,3297917.07,0.44917552,274826.4225,-0.44917552,139324.99986464853,0.0,0.2277123817402708,EXT,Routine
715,Routine,12,344889.96166667,836130.17,0.20202825,69677.51416667,-0.16413328,63441.45928962755,0.0,0.18394695798929223,CAPX,Routine
715,Routine,12,344889.96166667,836130.17,0.20202825,69677.51416667,-0.16413328,63441.45928962755,0.0,0.18394695798929223,TRANS,Routine
715,Routine,12,344889.96166667,836130.17,0.20202825,69677.51416667,-0.16413328,63441.45928962755,0.0,0.18394695798929223,EXT,Routine
715,Routine,12,344889.96166667,836130.17,0.20202825,69677.51416667,-0.16413328,63441.45928962755,0.0,0.18394695798929223,CCCI,Routine
715,Routine,12,344889.96166667,836130.17,0.20202825,69677.51416667,-0.16413328,63441.45928962755,0.0,0.18394695798929223,UNKNOWN,Routine
695,Routine,12,288178.07416667,822002.83,0.23770107,68500.23583333,-0.23757812,66054.23945087571,0.0,0.2292132725290986,CAPX,Routine
695,Routine,12,288178.07416667,822002.83,0.23770107,68500.23583333,-0.23757812,66054.23945087571,0.0,0.2292132725290986,CCCI,Routine
695,Routine,12,288178.07416667,822002.83,0.23770107,68500.23583333,-0.23757812,66054.23945087571,0.0,0.2292132725290986,UNKNOWN,Routine
695,Routine,12,288178.07416667,822002.83,0.23770107,68500.23583333,-0.23757812,66054.23945087571,0.0,0.2292132725290986,TRANS,Routine
695,Routine,12,288178.07416667,822002.83,0.23770107,68500.23583333,-0.23757812,66054.23945087571,0.0,0.2292132725290986,EXT,Routine
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,CCCI,Routine
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,CAPX,Routine
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,TRANS,Routine
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,EXT,Routine
699,Routine,12,252643.535,723697.06,0.23870822,60308.08833333,-0.12799508,84779.02105440103,0.0,0.33556774391397365,UNKNOWN,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,CCCI,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,CAPX,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,EXT,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,UNKNOWN,Routine
698,Routine,12,245052.185,602170.04,0.20477612,50180.83666667,-0.14010454,61513.104127990264,0.0,0.25102042704899885,TRANS,Routine
644,Routine,12,269644.29166667,538429.66,0.16640122,44869.13833333,-0.04037075,64720.2683084173,0.0,0.24002091017162516,EXT,Routine
644,Routine,12,269644.29166667,538429.66,0.16640122,44869.13833333,-0.04037075,64720.2683084173,0.0,0.24002091017162516,CCCI,Routine
