ANCHOR_FISCAL_YYYYMM,TARGET_FISCAL_YYYYMM,Y_TRUE,Y_PRED_CHAMPION,LAG_1,LAG_2,LAG_12,LAG_3,LAG_6,ROLL_MEAN_3,ROLL_MEAN_6,ROLL_MEAN_12,ROLL_STD_12,FISCAL_MONTH_SIN,FISCAL_MONTH_COS,ANCHOR_FISCAL_MONTH,YOY_DIFF_12,YOY_PCT_12,RECENT_TREND,IS_QUARTER_END
202412,202501,238909.83,276372.25,341452.75,328884.19,670581.98,436611.08,392890.49,354912.23333,365892.77333,352796.15166,60606.70797050841,-2.4492935982947064e-16,1.0,12,-276182.22,-0.41185452,0.0,1
202501,202502,279779.84,299285.42,394399.76,341452.75,281874.94,328884.19,278192.53,324920.78,359345.65666,349215.72583,66189.36070092361,0.4999981861995391,0.8660264509800905,1,-42965.11,-0.15242614,0.0,0
202502,202503,390396.67,292247.05,238909.83,394399.76,342282.27,341452.75,415816.33,304363.14333,336672.90833,344007.19,69176.36843953695,0.8660264509800905,0.4999981861995392,2,-62502.43,-0.18260493,0.0,0
202503,202504,344603.04,301763.53,279779.84,238909.83,370243.7,394399.76,436611.08,303028.78,328970.50666,345686.60416,70109.55950230526,1.0,6.123233995736766e-17,3,20152.97,0.05443164,0.0,1
202504,202505,271038.56,291856.85,390396.67,279779.84,405651.9,238909.83,328884.19,338259.85,331590.315,340599.19916,67530.20253661313,0.8660264509800905,-0.49999818619953906,4,-61048.86,-0.15049568,0.0,0
202505,202506,339545.63,285043.23,344603.04,390396.67,245253.88,279779.84,341452.75,335346.09,319854.61666,342747.9225,64565.79399180838,0.49999818619953923,-0.8660264509800903,5,25784.68,0.10513465,0.0,0
202506,202507,411870.49,275251.3,271038.56,344603.04,392890.49,390396.67,394399.76,318395.74333,310712.26166,338302.5175,62606.2713864951,1.2246467991473532e-16,-1.0,6,-53344.86,-0.13577539,12318.90085714285,1
202507,202508,286272.71,286903.99,339545.63,271038.56,278192.53,344603.04,238909.83,340818.22666,339539.03833,349442.3475,62830.85780488758,-0.499998186199539,-0.8660264509800905,7,133677.96,0.48052318,12409.589999999978,0
202508,202509,442549.82,280940.49,411870.49,339545.63,415816.33,271038.56,279779.84,345896.27666,340621.18333,338647.04583,61504.85473045425,-0.8660264509800903,-0.4999981861995393,8,-129543.62,-0.31154048,-7151.725142857117,0
202509,202510,390387.0,290190.74,286272.71,411870.49,436611.08,339545.63,390396.67,380231.00666,349313.375,339141.94083,62382.40875741282,-1.0,-1.8369701987210297e-16,9,5938.74,0.0136019,17364.60599999999,1
202510,202511,383599.59,289363.31,442549.82,286272.71,328884.19,411870.49,344603.04,373069.84333,356944.035,344267.175,63969.3339029262,-0.8660264509800906,0.49999818619953895,10,61502.81,0.18700446,22290.199714285693,0
202511,202512,359726.36,290166.35,390387.0,442549.82,341452.75,286272.71,271038.56,405512.13666,375704.20666,347779.41166,64950.27516537986,-0.49999818619953934,0.8660264509800903,11,42146.84,0.12343389,8917.041142857135,0
